ORIGIN|TYPE|TARGET
T017|part_of|T194
T017|part_of|T204
T018|part_of|T001
T018|part_of|T002
T018|part_of|T004
T018|location_of|T004
T018|part_of|T005
T018|location_of|T005
T018|part_of|T007
T018|location_of|T007
T018|part_of|T008
T018|part_of|T010
T018|part_of|T011
T018|part_of|T012
T018|part_of|T013
T018|part_of|T014
T018|part_of|T015
T018|part_of|T016
T018|isa|T017
T018|developmental_form_of|T023
T018|developmental_form_of|T024
T018|part_of|T025
T018|surrounds|T025
T018|developmental_form_of|T025
T018|contains|T031
T018|location_of|T038
T018|location_of|T039
T018|location_of|T040
T018|location_of|T041
T018|location_of|T042
T018|location_of|T043
T018|location_of|T044
T018|location_of|T045
T018|location_of|T046
T018|location_of|T047
T018|location_of|T048
T018|location_of|T049
T018|location_of|T050
T018|isa|T071
T018|isa|T072
T018|issue_in|T090
T018|issue_in|T091
T018|location_of|T191
T018|part_of|T194
T018|part_of|T204
T019|part_of|T001
T019|affects|T001
T019|part_of|T002
T019|affects|T002
T019|part_of|T004
T019|location_of|T004
T019|affects|T004
T019|part_of|T005
T019|location_of|T005
T019|affects|T005
T019|part_of|T007
T019|location_of|T007
T019|affects|T007
T019|part_of|T008
T019|affects|T008
T019|part_of|T010
T019|affects|T010
T019|part_of|T011
T019|affects|T011
T019|part_of|T012
T019|affects|T012
T019|part_of|T013
T019|affects|T013
T019|part_of|T014
T019|affects|T014
T019|part_of|T015
T019|affects|T015
T019|part_of|T016
T019|affects|T016
T019|isa|T017
T019|co-occurs_with|T020
T019|complicates|T020
T019|result_of|T020
T019|associated_with|T032
T019|associated_with|T033
T019|associated_with|T034
T019|result_of|T037
T019|manifestation_of|T038
T019|result_of|T038
T019|manifestation_of|T039
T019|affects|T039
T019|result_of|T039
T019|manifestation_of|T040
T019|affects|T040
T019|result_of|T040
T019|manifestation_of|T041
T019|affects|T041
T019|result_of|T041
T019|manifestation_of|T042
T019|affects|T042
T019|result_of|T042
T019|manifestation_of|T043
T019|affects|T043
T019|result_of|T043
T019|manifestation_of|T044
T019|affects|T044
T019|result_of|T044
T019|manifestation_of|T045
T019|affects|T045
T019|result_of|T045
T019|location_of|T046
T019|co-occurs_with|T046
T019|manifestation_of|T046
T019|result_of|T046
T019|location_of|T047
T019|co-occurs_with|T047
T019|manifestation_of|T047
T019|result_of|T047
T019|location_of|T048
T019|co-occurs_with|T048
T019|manifestation_of|T048
T019|result_of|T048
T019|location_of|T049
T019|co-occurs_with|T049
T019|manifestation_of|T049
T019|result_of|T049
T019|location_of|T050
T019|co-occurs_with|T050
T019|manifestation_of|T050
T019|result_of|T050
T019|associated_with|T055
T019|associated_with|T056
T019|associated_with|T057
T019|result_of|T058
T019|associated_with|T058
T019|result_of|T059
T019|associated_with|T059
T019|result_of|T060
T019|associated_with|T060
T019|result_of|T061
T019|associated_with|T061
T019|associated_with|T062
T019|associated_with|T063
T019|associated_with|T064
T019|associated_with|T065
T019|result_of|T067
T019|result_of|T068
T019|result_of|T069
T019|result_of|T070
T019|isa|T071
T019|isa|T072
T019|associated_with|T083
T019|issue_in|T090
T019|issue_in|T091
T019|occurs_in|T096
T019|occurs_in|T097
T019|occurs_in|T098
T019|associated_with|T098
T019|occurs_in|T099
T019|occurs_in|T100
T019|occurs_in|T101
T019|associated_with|T184
T019|co-occurs_with|T190
T019|complicates|T190
T019|result_of|T190
T019|isa|T190
T019|location_of|T191
T019|co-occurs_with|T191
T019|manifestation_of|T191
T019|result_of|T191
T019|part_of|T194
T019|affects|T194
T019|associated_with|T201
T019|part_of|T204
T019|affects|T204
T020|part_of|T001
T020|affects|T001
T020|part_of|T002
T020|affects|T002
T020|part_of|T004
T020|location_of|T004
T020|affects|T004
T020|part_of|T005
T020|location_of|T005
T020|affects|T005
T020|part_of|T007
T020|location_of|T007
T020|affects|T007
T020|part_of|T008
T020|affects|T008
T020|part_of|T010
T020|affects|T010
T020|part_of|T011
T020|affects|T011
T020|part_of|T012
T020|affects|T012
T020|part_of|T013
T020|affects|T013
T020|part_of|T014
T020|affects|T014
T020|part_of|T015
T020|affects|T015
T020|part_of|T016
T020|affects|T016
T020|isa|T017
T020|complicates|T019
T020|result_of|T019
T020|associated_with|T032
T020|associated_with|T033
T020|associated_with|T034
T020|co-occurs_with|T037
T020|result_of|T037
T020|manifestation_of|T038
T020|result_of|T038
T020|manifestation_of|T039
T020|affects|T039
T020|result_of|T039
T020|manifestation_of|T040
T020|affects|T040
T020|result_of|T040
T020|manifestation_of|T041
T020|affects|T041
T020|result_of|T041
T020|manifestation_of|T042
T020|affects|T042
T020|result_of|T042
T020|manifestation_of|T043
T020|affects|T043
T020|result_of|T043
T020|manifestation_of|T044
T020|affects|T044
T020|result_of|T044
T020|manifestation_of|T045
T020|affects|T045
T020|result_of|T045
T020|location_of|T046
T020|co-occurs_with|T046
T020|manifestation_of|T046
T020|result_of|T046
T020|location_of|T047
T020|co-occurs_with|T047
T020|manifestation_of|T047
T020|result_of|T047
T020|location_of|T048
T020|co-occurs_with|T048
T020|manifestation_of|T048
T020|result_of|T048
T020|location_of|T049
T020|co-occurs_with|T049
T020|manifestation_of|T049
T020|result_of|T049
T020|location_of|T050
T020|co-occurs_with|T050
T020|manifestation_of|T050
T020|result_of|T050
T020|result_of|T053
T020|result_of|T054
T020|result_of|T055
T020|associated_with|T055
T020|associated_with|T056
T020|associated_with|T057
T020|result_of|T058
T020|associated_with|T058
T020|result_of|T059
T020|associated_with|T059
T020|result_of|T060
T020|associated_with|T060
T020|result_of|T061
T020|associated_with|T061
T020|associated_with|T062
T020|associated_with|T063
T020|associated_with|T064
T020|associated_with|T065
T020|result_of|T067
T020|result_of|T068
T020|result_of|T069
T020|result_of|T070
T020|isa|T071
T020|isa|T072
T020|associated_with|T083
T020|issue_in|T090
T020|issue_in|T091
T020|occurs_in|T096
T020|occurs_in|T097
T020|occurs_in|T098
T020|associated_with|T098
T020|occurs_in|T099
T020|occurs_in|T100
T020|occurs_in|T101
T020|associated_with|T184
T020|co-occurs_with|T190
T020|complicates|T190
T020|result_of|T190
T020|isa|T190
T020|location_of|T191
T020|co-occurs_with|T191
T020|manifestation_of|T191
T020|result_of|T191
T020|part_of|T194
T020|affects|T194
T020|associated_with|T201
T020|part_of|T204
T020|affects|T204
T021|part_of|T001
T021|part_of|T002
T021|part_of|T004
T021|location_of|T004
T021|part_of|T005
T021|location_of|T005
T021|part_of|T007
T021|location_of|T007
T021|part_of|T008
T021|part_of|T010
T021|part_of|T011
T021|part_of|T012
T021|part_of|T013
T021|part_of|T014
T021|part_of|T015
T021|part_of|T016
T021|isa|T017
T021|location_of|T019
T021|location_of|T020
T021|contains|T031
T021|produces|T031
T021|location_of|T037
T021|location_of|T038
T021|location_of|T039
T021|location_of|T040
T021|location_of|T041
T021|location_of|T042
T021|location_of|T043
T021|location_of|T044
T021|location_of|T045
T021|location_of|T046
T021|location_of|T047
T021|location_of|T048
T021|location_of|T049
T021|location_of|T050
T021|isa|T071
T021|isa|T072
T021|issue_in|T090
T021|issue_in|T091
T021|produces|T109
T021|produces|T114
T021|produces|T116
T021|produces|T123
T021|produces|T125
T021|produces|T126
T021|produces|T127
T021|produces|T129
T021|location_of|T190
T021|location_of|T191
T021|produces|T192
T021|part_of|T194
T021|part_of|T204
T022|conceptual_part_of|T021
T022|result_of|T041
T022|isa|T071
T022|isa|T077
T022|isa|T078
T022|issue_in|T090
T022|issue_in|T091
T022|isa|T169
T023|part_of|T001
T023|part_of|T002
T023|part_of|T004
T023|location_of|T004
T023|part_of|T005
T023|location_of|T005
T023|part_of|T007
T023|location_of|T007
T023|part_of|T008
T023|part_of|T010
T023|part_of|T011
T023|part_of|T012
T023|part_of|T013
T023|part_of|T014
T023|part_of|T015
T023|part_of|T016
T023|isa|T017
T023|location_of|T019
T023|location_of|T020
T023|isa|T021
T023|conceptual_part_of|T022
T023|adjacent_to|T024
T023|connected_to|T024
T023|surrounds|T024
T023|adjacent_to|T025
T023|location_of|T029
T023|adjacent_to|T029
T023|location_of|T030
T023|adjacent_to|T030
T023|connected_to|T030
T023|interconnects|T030
T023|contains|T031
T023|produces|T031
T023|consists_of|T031
T023|connected_to|T031
T023|location_of|T037
T023|location_of|T038
T023|location_of|T039
T023|location_of|T040
T023|location_of|T041
T023|location_of|T042
T023|location_of|T043
T023|location_of|T044
T023|location_of|T045
T023|location_of|T046
T023|location_of|T047
T023|location_of|T048
T023|location_of|T049
T023|location_of|T050
T023|location_of|T060
T023|location_of|T061
T023|isa|T071
T023|isa|T072
T023|issue_in|T090
T023|issue_in|T091
T023|produces|T109
T023|produces|T114
T023|produces|T116
T023|produces|T123
T023|produces|T125
T023|produces|T126
T023|produces|T127
T023|produces|T129
T023|location_of|T190
T023|location_of|T191
T023|produces|T192
T023|part_of|T194
T023|part_of|T204
T024|part_of|T001
T024|part_of|T002
T024|part_of|T004
T024|location_of|T004
T024|part_of|T005
T024|location_of|T005
T024|part_of|T007
T024|location_of|T007
T024|part_of|T008
T024|part_of|T010
T024|part_of|T011
T024|part_of|T012
T024|part_of|T013
T024|part_of|T014
T024|part_of|T015
T024|part_of|T016
T024|isa|T017
T024|location_of|T019
T024|location_of|T020
T024|isa|T021
T024|conceptual_part_of|T022
T024|part_of|T023
T024|developmental_form_of|T023
T024|surrounds|T025
T024|surrounds|T026
T024|location_of|T030
T024|adjacent_to|T030
T024|connected_to|T030
T024|surrounds|T030
T024|contains|T031
T024|produces|T031
T024|surrounds|T031
T024|location_of|T037
T024|location_of|T038
T024|location_of|T039
T024|location_of|T040
T024|location_of|T041
T024|location_of|T042
T024|location_of|T043
T024|location_of|T044
T024|location_of|T045
T024|location_of|T046
T024|location_of|T047
T024|location_of|T048
T024|location_of|T049
T024|location_of|T050
T024|location_of|T060
T024|location_of|T061
T024|isa|T071
T024|isa|T072
T024|issue_in|T090
T024|issue_in|T091
T024|produces|T109
T024|produces|T114
T024|produces|T116
T024|produces|T123
T024|produces|T125
T024|produces|T126
T024|produces|T127
T024|produces|T129
T024|location_of|T190
T024|location_of|T191
T024|produces|T192
T024|part_of|T194
T024|part_of|T204
T025|part_of|T001
T025|part_of|T002
T025|part_of|T004
T025|location_of|T004
T025|part_of|T005
T025|location_of|T005
T025|part_of|T007
T025|location_of|T007
T025|part_of|T008
T025|part_of|T010
T025|part_of|T011
T025|part_of|T012
T025|part_of|T013
T025|part_of|T014
T025|part_of|T015
T025|part_of|T016
T025|isa|T017
T025|location_of|T019
T025|location_of|T020
T025|isa|T021
T025|conceptual_part_of|T022
T025|part_of|T023
T025|part_of|T024
T025|location_of|T030
T025|contains|T031
T025|produces|T031
T025|location_of|T037
T025|location_of|T038
T025|location_of|T039
T025|location_of|T040
T025|location_of|T041
T025|location_of|T042
T025|location_of|T043
T025|location_of|T044
T025|location_of|T045
T025|location_of|T046
T025|location_of|T047
T025|location_of|T048
T025|location_of|T049
T025|location_of|T050
T025|location_of|T060
T025|location_of|T061
T025|isa|T071
T025|isa|T072
T025|issue_in|T090
T025|issue_in|T091
T025|produces|T109
T025|produces|T114
T025|produces|T116
T025|produces|T123
T025|produces|T125
T025|produces|T126
T025|produces|T127
T025|produces|T129
T025|location_of|T190
T025|location_of|T191
T025|produces|T192
T025|part_of|T194
T025|part_of|T204
T026|part_of|T001
T026|part_of|T002
T026|part_of|T004
T026|location_of|T004
T026|part_of|T005
T026|location_of|T005
T026|part_of|T007
T026|location_of|T007
T026|part_of|T008
T026|part_of|T010
T026|part_of|T011
T026|part_of|T012
T026|part_of|T013
T026|part_of|T014
T026|part_of|T015
T026|part_of|T016
T026|isa|T017
T026|location_of|T019
T026|location_of|T020
T026|isa|T021
T026|conceptual_part_of|T022
T026|part_of|T023
T026|part_of|T024
T026|part_of|T025
T026|location_of|T030
T026|adjacent_to|T030
T026|contains|T031
T026|produces|T031
T026|location_of|T037
T026|location_of|T038
T026|location_of|T039
T026|affects|T039
T026|location_of|T040
T026|affects|T040
T026|location_of|T041
T026|affects|T041
T026|location_of|T042
T026|affects|T042
T026|location_of|T043
T026|affects|T043
T026|location_of|T044
T026|affects|T044
T026|location_of|T045
T026|affects|T045
T026|location_of|T046
T026|location_of|T047
T026|location_of|T048
T026|location_of|T049
T026|location_of|T050
T026|location_of|T060
T026|location_of|T061
T026|isa|T071
T026|isa|T072
T026|issue_in|T090
T026|issue_in|T091
T026|produces|T109
T026|produces|T114
T026|produces|T116
T026|produces|T123
T026|produces|T125
T026|produces|T126
T026|produces|T127
T026|produces|T129
T026|location_of|T190
T026|location_of|T191
T026|produces|T192
T026|part_of|T194
T026|part_of|T204
T028|part_of|T001
T028|part_of|T002
T028|part_of|T004
T028|location_of|T004
T028|part_of|T005
T028|location_of|T005
T028|part_of|T007
T028|location_of|T007
T028|part_of|T008
T028|part_of|T010
T028|part_of|T011
T028|part_of|T012
T028|part_of|T013
T028|part_of|T014
T028|part_of|T015
T028|part_of|T016
T028|isa|T017
T028|location_of|T019
T028|location_of|T020
T028|isa|T021
T028|part_of|T023
T028|part_of|T024
T028|part_of|T025
T028|part_of|T026
T028|contains|T031
T028|produces|T031
T028|location_of|T037
T028|location_of|T038
T028|location_of|T039
T028|affects|T039
T028|location_of|T040
T028|affects|T040
T028|location_of|T041
T028|affects|T041
T028|location_of|T042
T028|affects|T042
T028|location_of|T043
T028|affects|T043
T028|location_of|T044
T028|carries_out|T044
T028|affects|T044
T028|location_of|T045
T028|carries_out|T045
T028|affects|T045
T028|location_of|T046
T028|location_of|T047
T028|location_of|T048
T028|location_of|T049
T028|location_of|T050
T028|isa|T071
T028|isa|T072
T028|issue_in|T090
T028|issue_in|T091
T028|produces|T109
T028|produces|T114
T028|produces|T116
T028|produces|T123
T028|produces|T125
T028|produces|T126
T028|produces|T127
T028|produces|T129
T028|location_of|T190
T028|location_of|T191
T028|produces|T192
T028|part_of|T194
T028|part_of|T204
T029|location_of|T019
T029|location_of|T020
T029|conceptual_part_of|T021
T029|conceptual_part_of|T022
T029|location_of|T023
T029|location_of|T024
T029|adjacent_to|T030
T029|location_of|T037
T029|location_of|T038
T029|location_of|T039
T029|location_of|T040
T029|location_of|T041
T029|result_of|T041
T029|location_of|T042
T029|location_of|T043
T029|location_of|T044
T029|location_of|T045
T029|location_of|T046
T029|location_of|T047
T029|location_of|T048
T029|location_of|T049
T029|location_of|T050
T029|location_of|T060
T029|location_of|T061
T029|isa|T071
T029|isa|T077
T029|isa|T078
T029|isa|T082
T029|issue_in|T090
T029|issue_in|T091
T029|location_of|T190
T029|location_of|T191
T030|location_of|T019
T030|location_of|T020
T030|conceptual_part_of|T021
T030|conceptual_part_of|T022
T030|part_of|T023
T030|contains|T023
T030|contains|T024
T030|interconnects|T025
T030|surrounds|T025
T030|location_of|T026
T030|contains|T031
T030|location_of|T031
T030|location_of|T037
T030|location_of|T038
T030|location_of|T039
T030|location_of|T040
T030|location_of|T041
T030|result_of|T041
T030|location_of|T042
T030|location_of|T043
T030|location_of|T044
T030|location_of|T045
T030|location_of|T046
T030|location_of|T047
T030|location_of|T048
T030|location_of|T049
T030|location_of|T050
T030|location_of|T060
T030|location_of|T061
T030|isa|T071
T030|isa|T077
T030|isa|T078
T030|isa|T082
T030|issue_in|T090
T030|issue_in|T091
T030|location_of|T190
T030|location_of|T191
T031|surrounds|T018
T031|causes|T019
T031|causes|T020
T031|conceptual_part_of|T022
T031|part_of|T023
T031|derivative_of|T024
T031|causes|T037
T031|causes|T046
T031|causes|T047
T031|causes|T048
T031|causes|T049
T031|causes|T050
T031|isa|T071
T031|isa|T072
T031|issue_in|T090
T031|issue_in|T091
T031|consists_of|T109
T031|consists_of|T114
T031|consists_of|T116
T031|isa|T167
T031|causes|T190
T031|causes|T191
T031|ingredient_of|T200
T032|property_of|T001
T032|property_of|T002
T032|property_of|T004
T032|property_of|T005
T032|property_of|T007
T032|property_of|T008
T032|property_of|T010
T032|property_of|T011
T032|property_of|T012
T032|property_of|T013
T032|property_of|T014
T032|property_of|T015
T032|property_of|T016
T032|result_of|T037
T032|associated_with|T037
T032|result_of|T038
T032|manifestation_of|T039
T032|result_of|T039
T032|measurement_of|T039
T032|manifestation_of|T040
T032|result_of|T040
T032|measurement_of|T040
T032|manifestation_of|T041
T032|result_of|T041
T032|measurement_of|T041
T032|manifestation_of|T042
T032|result_of|T042
T032|measurement_of|T042
T032|manifestation_of|T043
T032|result_of|T043
T032|measurement_of|T043
T032|manifestation_of|T044
T032|result_of|T044
T032|measurement_of|T044
T032|manifestation_of|T045
T032|result_of|T045
T032|measurement_of|T045
T032|result_of|T046
T032|associated_with|T046
T032|result_of|T047
T032|associated_with|T047
T032|result_of|T048
T032|associated_with|T048
T032|result_of|T049
T032|associated_with|T049
T032|result_of|T050
T032|associated_with|T050
T032|associated_with|T053
T032|associated_with|T054
T032|associated_with|T055
T032|result_of|T067
T032|result_of|T068
T032|result_of|T069
T032|result_of|T070
T032|isa|T071
T032|isa|T077
T032|issue_in|T090
T032|issue_in|T091
T032|associated_with|T190
T032|result_of|T191
T032|associated_with|T191
T032|property_of|T194
T032|associated_with|T201
T032|degree_of|T201
T032|property_of|T204
T033|manifestation_of|T019
T033|manifestation_of|T020
T033|evaluation_of|T032
T033|co-occurs_with|T034
T033|manifestation_of|T037
T033|associated_with|T037
T033|manifestation_of|T038
T033|evaluation_of|T038
T033|manifestation_of|T039
T033|evaluation_of|T039
T033|manifestation_of|T040
T033|evaluation_of|T040
T033|manifestation_of|T041
T033|evaluation_of|T041
T033|manifestation_of|T042
T033|evaluation_of|T042
T033|manifestation_of|T043
T033|evaluation_of|T043
T033|manifestation_of|T044
T033|evaluation_of|T044
T033|manifestation_of|T045
T033|evaluation_of|T045
T033|manifestation_of|T046
T033|evaluation_of|T046
T033|associated_with|T046
T033|manifestation_of|T047
T033|evaluation_of|T047
T033|associated_with|T047
T033|manifestation_of|T048
T033|evaluation_of|T048
T033|associated_with|T048
T033|manifestation_of|T049
T033|evaluation_of|T049
T033|associated_with|T049
T033|manifestation_of|T050
T033|evaluation_of|T050
T033|associated_with|T050
T033|isa|T071
T033|isa|T077
T033|issue_in|T090
T033|issue_in|T091
T033|co-occurs_with|T184
T033|manifestation_of|T190
T033|associated_with|T190
T033|manifestation_of|T191
T033|evaluation_of|T191
T033|associated_with|T191
T033|evaluation_of|T201
T034|manifestation_of|T019
T034|indicates|T019
T034|manifestation_of|T020
T034|indicates|T020
T034|measurement_of|T031
T034|evaluation_of|T032
T034|isa|T033
T034|manifestation_of|T037
T034|indicates|T037
T034|associated_with|T037
T034|manifestation_of|T038
T034|indicates|T038
T034|evaluation_of|T038
T034|manifestation_of|T039
T034|indicates|T039
T034|evaluation_of|T039
T034|measurement_of|T039
T034|manifestation_of|T040
T034|indicates|T040
T034|evaluation_of|T040
T034|measurement_of|T040
T034|manifestation_of|T041
T034|indicates|T041
T034|evaluation_of|T041
T034|measurement_of|T041
T034|manifestation_of|T042
T034|indicates|T042
T034|evaluation_of|T042
T034|measurement_of|T042
T034|manifestation_of|T043
T034|indicates|T043
T034|evaluation_of|T043
T034|measurement_of|T043
T034|manifestation_of|T044
T034|indicates|T044
T034|evaluation_of|T044
T034|measurement_of|T044
T034|manifestation_of|T045
T034|indicates|T045
T034|evaluation_of|T045
T034|measurement_of|T045
T034|manifestation_of|T046
T034|indicates|T046
T034|evaluation_of|T046
T034|associated_with|T046
T034|manifestation_of|T047
T034|indicates|T047
T034|evaluation_of|T047
T034|associated_with|T047
T034|manifestation_of|T048
T034|indicates|T048
T034|evaluation_of|T048
T034|associated_with|T048
T034|manifestation_of|T049
T034|indicates|T049
T034|evaluation_of|T049
T034|associated_with|T049
T034|manifestation_of|T050
T034|indicates|T050
T034|evaluation_of|T050
T034|associated_with|T050
T034|result_of|T059
T034|result_of|T060
T034|isa|T071
T034|isa|T077
T034|issue_in|T090
T034|issue_in|T091
T034|measurement_of|T103
T034|measurement_of|T104
T034|measurement_of|T109
T034|measurement_of|T114
T034|measurement_of|T116
T034|measurement_of|T120
T034|measurement_of|T121
T034|measurement_of|T122
T034|measurement_of|T123
T034|measurement_of|T125
T034|measurement_of|T126
T034|measurement_of|T127
T034|measurement_of|T129
T034|measurement_of|T130
T034|measurement_of|T131
T034|measurement_of|T167
T034|measurement_of|T168
T034|co-occurs_with|T184
T034|manifestation_of|T190
T034|indicates|T190
T034|associated_with|T190
T034|manifestation_of|T191
T034|indicates|T191
T034|evaluation_of|T191
T034|associated_with|T191
T034|measurement_of|T192
T034|measurement_of|T195
T034|measurement_of|T196
T034|measurement_of|T197
T034|evaluation_of|T201
T037|disrupts|T018
T037|complicates|T019
T037|result_of|T019
T037|complicates|T020
T037|result_of|T020
T037|disrupts|T021
T037|disrupts|T023
T037|disrupts|T024
T037|disrupts|T025
T037|disrupts|T026
T037|disrupts|T028
T037|result_of|T038
T037|disrupts|T039
T037|result_of|T039
T037|disrupts|T040
T037|result_of|T040
T037|disrupts|T041
T037|result_of|T041
T037|disrupts|T042
T037|result_of|T042
T037|disrupts|T043
T037|result_of|T043
T037|disrupts|T044
T037|result_of|T044
T037|disrupts|T045
T037|result_of|T045
T037|co-occurs_with|T046
T037|complicates|T046
T037|result_of|T046
T037|co-occurs_with|T047
T037|complicates|T047
T037|result_of|T047
T037|co-occurs_with|T048
T037|complicates|T048
T037|result_of|T048
T037|co-occurs_with|T049
T037|complicates|T049
T037|result_of|T049
T037|co-occurs_with|T050
T037|complicates|T050
T037|result_of|T050
T037|isa|T051
T037|result_of|T053
T037|result_of|T054
T037|result_of|T055
T037|associated_with|T055
T037|associated_with|T056
T037|associated_with|T057
T037|result_of|T058
T037|associated_with|T058
T037|result_of|T059
T037|associated_with|T059
T037|result_of|T060
T037|associated_with|T060
